Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,.........The eerie sound of the wind and rain.,...I could hear the eerie sound of wind and rain. ,......The eerie sound of the wind and rain.,………不気味な雨と、風の音。,[=JP],......Жуткий шум ветра и дождя.,.........O ominoso som do vento e da chuva.,[=UP],………陰氣森森的雨聲、風聲。,………阴气森森的雨声、风声。,[=UP],[=UP],[=UP]
,"Once again, I hazily regained consciousness on top of the bed...","Once again, I hazily regained consciousness on top of the bed... "," Once again, I hazily regained consciousness on top of the bed...",俺はぼんやりと再び、ベッドの上で意識を取り戻す…。,[=JP],Я снова в тумане очнулся на кровати...,"Deitado sobre a cama, mais uma vez, vagamente fui recobrando consciência...",[=UP],我又一次於床上，朦朦朧朧恢復了意識…。,我又一次于床上，朦朦胧胧恢复了意识…。,[=UP],[=UP],[=UP]
,The finger that the witch had bitten off......was still attached.,The finger that the witch had bitten off... was attached to my hand. , The finger that the witch had bitten off.....was still attached.,　魔女に食い千切られた指は、……くっ付いてる。,魔女に食い千切られた指は、……くっ付いてる。,"Палец, откушенный ведьмой...... всё ещё был на месте.",O dedo que a bruxa havia mordido......ainda estava em seu lugar.,[=UP],被魔女咬斷的手指，……還連在手上。,被魔女咬断的手指，……还连在手上。,[=UP],[=UP],[=UP]
,"I didn't say ""it was all an illusion""......just that it was still attached.","That's not to say that ""it was all an illusion"", but my finger was now attached. ", I didn't say 'it was all an illusion'......just that it was still attached.,あれは幻だった、ではなく、……くっ付いてると、表現する。,[=JP],"Я не говорю 'это была иллюзия'...... только то, что он по‐прежнему у меня был.","Eu não diria que ""foi tudo uma ilusão""......só porque ele permaneceu onde deveria estar.",[=UP],那並非是一場幻覺，……所以用“還連在手上”一詞來表達。,那并非是一场幻觉，……所以用“还连在手上”一词来表达。,[=UP],[=UP],[=UP]
,"...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","...After all, the pain and the teeth marks as though a witch had bitten it... ...were still there. ",[=UP],…なぜなら、魔女に噛まれたかのような歯型と痛みが、……残っていたから。,[=JP],"...В конце концов, боль и следы от зубов, будто ведьма укусила его...... никуда не пропали.","...Afinal, a dor e as marcas dos dentes da bruxa que o morderam.........ainda estavam ali.",[=UP],…要問為什麼的話，是因為宛如被魔女咬過似的齒痕與痛楚，……還在我的手指上殘留著，,…要问为什么的话，是因为宛如被魔女咬过似的齿痕与痛楚，……还在我的手指上残留着，,[=UP],[=UP],[=UP]
,"And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place... "," And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...",なのに叩き割ったはずの窓ガラスは、最初からそうだったかのように平然と直っている…。,[=JP],"И тем не менее, окно, которое я разбил, было как новым, словно его и вовсе не разбивали...","E ainda, a janela que eu supostamente havia quebrado, estava inteira, como se nunca tivesse sido quebrada...",[=UP],可是，理應已被敲碎了的窗玻璃，卻如一開始即是那樣般地恢復了原狀…。,可是，理应已被敲碎了的窗玻璃，却如一开始即是那样般地恢复了原状…。,[=UP],[=UP],[=UP]
,.........How can I escape this creepy room?,......How can I escape from this creepy room? ,.........How can I escape this creepy room? ,………俺は、どうすればこの気味の悪い部屋から逃げられるんだ。,[=JP],.........Как мне выбраться из этой жуткой комнаты?,.........Como eu posso escapar deste quarto estranho?,[=UP],………我要怎麼做，才能從這令人心裡發毛的房間逃出去啊。,………我要怎么做，才能从这令人心里发毛的房间逃出去啊。,[=UP],[=UP],[=UP]
,Why am I locked up in this eerie room......all alone...?,Why am I locked up in this eerie room...all alone...? ,Why am I locked up in this eerie room......all alone...? ,どうして俺だけが、……こんな不気味な部屋に閉じ込められているんだ…。,[=JP],Почему я заперт в ней...... совсем один?..,Por que eu estou preso neste quarto sinistro......sozinho...?,[=UP],為什麼偏偏就我一個，……被關在了這種陰森的房間…。,为什么偏偏就我一个，……被关在了这种阴森的房间…。,[=UP],[=UP],[=UP]
,I want to get out. ......I have to get out. ......Let me out of here.........,"I want to get out. ...I have to get out. ...Please, let me out...... ",[=UP],出たい。……出なくちゃ。……ここから出して………。,[=JP],Я хочу выйти. ......Мне нужно выйти. ......Выпустите меня отсюда.........,Eu quero sair. ......Eu preciso sair. ......Me deixe sair daqui.........,[=UP],好想出去。……我得出去。……放我出去吧………。,[=CHT],[=UP],[=UP],[=UP]
,......The door was sealed with a firm chain.,...The door was sealed with a firm chain. ,[=UP],……扉は厳重な鎖によって封じられている。,[=JP],......Дверь была перекрыта твёрдой цепью.,......A porta estava selada com uma firme corrente.,[=UP],……門被誇張的鎖鏈所封住。,……门被夸张的锁链所封住。,[=UP],[=UP],[=UP]
,"I could open it a crack, but only enough to peek out into the corridor at best.","I could open it a crack, but only enough to peek out into the corridor at best. "," I could open it a crack, but only enough to peek out into the corridor at best.",わずかの隙間は許されるが、せいぜい廊下を覗き見られる程度。,[=JP],"Я мог открыть в ней лишь щель, в лучшем случае достаточную, чтобы выглянуть в коридор.","Eu consegui abrir uma fresta nela, mas não serviu para nada mais além de espiar o corredor.",[=UP],雖能稍微打開一條縫，但充其量只是能窺視下走廊。,虽能稍微打开一条缝，但充其量只是能窥视下走廊。,[=UP],[=UP],[=UP]
,......It would probably be hard even to get just a fist through it.,Even getting just a fist through it would probably be hard. , It would probably be hard even to get just a fist through it.,……握り拳ひとつさえ、通すのは難しいだろう。,[=JP],Через неё даже сложно просунуть руку.,......Provavelmente seria difícil até mesmo fazer um punho passar por ela.,[=UP],……就連握緊的拳頭，都很難通過吧。,……就连握紧的拳头，都很难通过吧。,[=UP],[=UP],[=UP]
,The windows wouldn't budge either.{n}They were no better than barred prison windows...,The window wouldn't budge either. It was no better than a barred prison window... , The window won't budge either. It was no better than a barred prison window...,窓も、びくともしない。鉄格子の入った、監獄の窓も同然だった…。,窓も、びくともしない。{n}鉄格子の入った、監獄の窓も同然だった…。,Окно тоже не шелохнётся.{n}Ничем не лучше окна в тюремной камере...,As janelas não se mexiam um centímetro.{n}Não eram diferentes das janelas de uma cela...,[=UP],窗戶也是，堅實得紋絲不動。{n}簡直等同於，用鐵條制成的監獄鐵窗…。,窗户也是，坚实得纹丝不动。{n}简直等同于，用铁条制成的监狱铁窗…。,[=UP],[=UP],[=UP]
