Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""...So, how is it, playing on the witch's side?"" ","""......How does it feel? To play on the witch side.""","""......So, how is it, playing on the witch's side?""",「……如何ですか。魔女側のプレイヤーは。」,「……如何ですか。魔女側のプレイヤーは」,"""......И, каково играть на стороне ведьмы?""","""......Como se sente? Jogando pelo lado da bruxa.""",「……感覺如何？當魔女方的棋手。」,「……感觉如何？当魔女方的棋手。」,"""... Allora, com'è giocare dalla parte delle streghe?"""
Ushiromiya Battler,"""It feels strange. ......I used to think that the witch's side had such a huge advantage. But now that I'm on that side, I see that that's ridiculous. It's almost like that game where you stick knives in a barrel and try not to stab the mustache guy inside."" ","""It feels strange. .........I used to think that the witch side had such a huge advantage. But now that I'm on that side, I see that that's ridiculous. It's almost like that party game where you stick knives in a barrel.""","""It feels strange. .........I used to think that the witch's side had such a huge advantage. But now that I'm on that side, I see that that's ridiculous. It's almost like that game where you stick knives in a barrel and try not to stab the mustache guy inside.""",「不思議な感覚だな。………かつては、魔女側に何て有利なゲームだろうと思ってた。だが、いざ魔女側になってみるととんでもないな。こいつはまるで樽にナイフを刺してく、ヒゲ男の樽ゲームみたいなもんだ。」,「不思議な感覚だな。………かつては、魔女側に何て有利なゲームだろうと思ってた。だが、いざ魔女側になってみるととんでもないな。こいつはまるで樽にナイフを刺してく、パーティゲームみたいなもんだ」,"""Странно. .........Раньше я считал, что у стороны ведьмы огромное преимущество. Но играя на этой стороне, я понял, что это чушь. Похоже на игру, где нужно кидать ножи в бочку так, чтобы не задеть усатого парня внутри.""","""É uma sensação estranha. .........Eu costumava pensar que o lado da bruxa tinha uma vantagem avassaladora. Mas agora que estou desse lado, eu vejo que chega a ser ridículo. É quase como aquele jogo que você fica enfiando espadas no barril.""",「很不可思議的感覺呢。………以前，我還以為這遊戲，是多麼地對魔女方有利。但是，一到自己站到魔女方的位置上一看，就根本不是這麼回事了。這傢伙，簡直就跟用匕首刺圓桶的派對遊戲差不多。」,「很不可思议的感觉呢。………以前，我还以为这游戏，是多么地对魔女方有利。但是，一到自己站到魔女方的位置上一看，就根本不是这么回事了。这家伙，简直就跟用匕首刺圆桶的派对游戏差不多。」,"""Dà una strana sensazione. ... Pensavo che il lato delle streghe avesse un enorme vantaggio. Ma ora che sono di qua, capisco che è un pensiero ridicolo. {n}Sembra quasi quel gioco dove infili coltelli in un barile e cerchi di non colpire il tizio stipato all'interno."""
,"From the perspective of the human side, it feels like trying to shoot at a target hidden by mist. ","From the perspective of the human side, it feels like trying to shoot at a target hidden by mist.",[=UP],人間側からすれば、霧の中で見えない的に銃を撃ちまくるようなもんだ。,[=JP],"С точки зрения человеческой стороны, это напоминает стрельбу в цель, сокрытую туманом.","Da perspectiva do lado humano, parece como tentar atirar em um alvo escondido em meio à névoa.",從人類方來看，這就像朝霧中看不見的靶子，胡亂放槍。,从人类方来看，这就像朝雾中看不见的靶子，胡乱放枪。,"Dalla prospettiva della fazione umana, sembra come cercare di sparare ad un bersaglio coperto dalla nebbia."
,"But from the witch's viewpoint, a stray shot might hit and become fatal. ","But from the witch side, a random shot might become fatal."," But from the witch's side, a random shot might become fatal.",しかし魔女側から見れば、まぐれ当たり一発で、それが致命傷となる。,[=JP],Однако для стороны ведьмы выстрел наугад может стать роковым.,"Mas vendo pelo lado da bruxa, um disparo aleatório pode ser fatal.",不過，換成從魔女方來看，只需僥倖命中一發，即會成為致命傷。,不过，换成从魔女方来看，只需侥幸命中一发，即会成为致命伤。,"Ma per la fazione delle streghe, un proiettile a caso potrebbe essere fatale."
{f:5:Beatrice},"""...The old ""me"" played games like that all the time."" ","""......And the old me played several games just like that.""","""......The old 'me' played games like that all the time.""",「……そんなゲームを、…かつての私は、何度も繰り返していたんですね。」,「……そんなゲームを、…かつての私は、何度も繰り返していたんですね」,"""......Прежняя 'я' всё время играла в такие игры.""","""......E a minha velha eu jogou vários jogos assim.""",「……以前的我，…是重複了好多遍，這樣的對局吧？」,「……以前的我，…是重复了好多遍，这样的对局吧？」,"""... La vecchia ‘me’ faceva quel genere di giochi tutto il tempo."""
Ushiromiya Battler,"""Yeah, it's almost like Russian Roulette. ...Even so, you believed that I'd eventually notice, and stretched those games out to the limit."" ","""Yeah, it's almost like Russian roulette. ......Even so, you stretched those games out to the limit, believing that I would eventually figure it out.""","""Yeah, it's almost like Russian Roulette. ......Even so, you believed that I would eventually notice, and stretched those games out to the limit.""",「あぁ、まるでロシアンルーレットだ。……それでもお前は、いつか俺が気付くと信じて、ゲームを限界まで繰り返してくれた。」,「あぁ、まるでロシアンルーレットだ。……それでもお前は、いつか俺が気付くと信じて、ゲームを限界まで繰り返してくれた」,"""Да, почти как русская рулетка. ......Но ты всё равно верила, что я в конце концов замечу, и растягивала игры до предела.""","""Sim, quase como uma roleta russa. ......E mesmo assim, você prolongou aquele jogos ao limite, acreditando que eventualmente eu iria descobrir.""",「是啊，簡直就像俄羅斯輪盤賭。……可即便如此，你還是相信著終有一日我會意識到，將對局重複到了極限。」,「是啊，简直就像俄罗斯轮盘赌。……可即便如此，你还是相信着终有一日我会意识到，将对局重复到了极限。」,"""Già, è una specie di roulette russa. ... Eppure, tu credevi che io prima o poi me ne sarei accorto, e hai trascinato quei giochi fino al limite."""
{f:5:Beatrice},"""...It may be impudent of me to ask, ...but just what is it that you noticed, Battler-san? At the very end of your games with the old ""me""..."" ","""......It may be impudent of me to ask, ......but just what is it that you figured out, Battler‐san? At the very end of your games with the old me...""","""......It may be impudent of me to ask, ......but just what is it that you noticed, Battler-san? At the very end of your games with the old 'me'...""",「……私が、聞くのも厚かましいですが…。……一体、戦人さんは何に気付かれたのですか？　かつての私とのゲームの、最後の最後で。」,「……私が、聞くのも厚かましいですが…。……一体、戦人さんは何に気付かれたのですか？　かつての私とのゲームの、最後の最後で」,"""......Этот вопрос может показаться наглым...... но что вы заметили, Баттлер? Под самый конец ваших игр с прежней мной...""","""......Pode ser que seja imprudente perguntar agora, ......mas o que foi que você descobriu, Battler‐san? No último momento dos seus jogos contra a antiga eu...""",「……雖然由我問，是有點厚臉皮…。……但究竟，戰人先生是意識到了什麼呢？在與以前的我的對局的，最後的最後。」,「……虽然由我问，是有点厚脸皮…。……但究竟，战人先生是意识到了什么呢？在与以前的我的对局的，最后的最后。」,"""... Potrebbe essere insolente da parte mia chiederlo... ma di cos'è che ti sei accorto, Battler-san? Alla fine dei tuoi giochi con la vecchia ‘me’..."""
,It was a strange question. ,It was a strange question.,[=UP],それは、不思議な問い。,[=JP],Странный вопрос.,Foi uma pergunta estranha.,這是一個，不可思議的發問。,这是一个，不可思议的发问。,Era una strana domanda.
,"Even though, in the past, Beato had always been the one posing it to Battler... Now that Battler had figured it out, Beato was the one asking it to him... ","In the past, Beato had always been the one posing it to Battler.{n}But now that Battler had figured it out, Beato was the one asking him about it..."," Even though, in the past, Beato had always been the one posing it to Battler... Now that Battler had figured it out, Beato was the one asking him about it...",それをベアトがずっと、戦人に問うていたはずなのに。それを戦人が気付いた今、ベアトが逆にそれを問う…。,それをベアトがずっと、戦人に問うていたはずなのに。{n}それを戦人が気付いた今、ベアトが逆にそれを問う…。,"Хотя раньше Беато не переставала излагать его Баттлеру...{n}Теперь, когда он понял, она спрашивала его...","No passado, Beato sempre foi aquela impondo isso a Battler.{n}Mas agora que Battler descobriu, Beato era aquela quem estava perguntando a ele...",明明理應是貝阿朵，曾經一直在質問戰人這件事。{n}可到了戰人意識到它的現今，貝阿朵卻反過來問它是什麼…。,明明理应是贝阿朵，曾经一直在质问战人这件事。{n}可到了战人意识到它的现今，贝阿朵却反过来问它是什么…。,"Anche se, in passato, Beato era sempre stata colei che l'aveva posta a Battler... ora che Battler l'aveva capito, era Beato che gli chiedeva di cosa si trattasse..."
Ushiromiya Battler,"""...Our roles have been completely flipped, haven't they? ...In the past, only you remembered, ...and only I forgot. But this time, it's the other way around. Only I remember, ...and only you have forgotten."" ","""......It's the exact opposite. ......In the past, only you remembered, ......and only I forgot. But now, it's the other way around. Only I remember, ......and only you have forgotten.""","""......It's the exact opposite. ......In the past, only you remembered, ......and only I forgot. But this time, it's the other way around. Only I remember, ......and only you have forgotten.""",「……正反対だな。……かつては、お前だけが覚えていて、……俺だけが忘れていた。しかし今度は逆だ。俺だけが覚えていて、……お前だけが忘れている。」,「……正反対だな。……かつては、お前だけが覚えていて、……俺だけが忘れていた。しかし今度は逆だ。俺だけが覚えていて、……お前だけが忘れている」,"""......Всё совсем наоборот. ......Раньше только ты помнила...... и только я забыл. Но теперь мы поменялись местами. Только я помню...... и только ты забыла.""","""......É o exato oposto. ......No passado, só você lembrava, ......eu só eu tinha esquecido. Mas agora, tudo virou ao contrário. Só eu me lembro, ......e é você quem esqueceu.""",「……完全反了過來呢。……在以前是，你記得，……我忘了。然而這次卻正相反。我記得，……你忘了。」,「……完全反了过来呢。……在以前是，你记得，……我忘了。然而这次却正相反。我记得，……你忘了。」,"""... È l'esatto opposto. ... In passato, solo tu lo ricordavi... e solo io l'avevo dimenticato. Ma questa volta, è il contrario. Soltanto io ricordo... e soltanto tu hai dimenticato."""
