Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began. ",[=UP],私はハロウィンパーティーのお姫様になり、私のためだけのクイズとなぞなぞ大会が開かれることになった。,[=JP],"Я стала принцессой хэллоуинской вечеринки, и специально для меня начали турнир викторин и загадок.","Eu me tornei a princesa da Festa de Halloween, e um torneio de quizzes e enigmas feito só para mim, começou.",[=UP],我成為萬聖夜派對的公主，為了我而進行問答猜謎大會。,我成为万圣夜派对的公主，为了我而进行问答猜谜大会。,[=UP],[=UP],[=UP]
,It looks like I get a medal for each puzzle I get right.,It looks like I get a medal for each puzzle I get right. , It looks like I get a medal for each puzzle I get right.,正解する度に、メダルがもらえるらしい。,[=JP],"Похоже, я получу медаль за каждую отгаданную головоломку.",Parece que eu ganho uma medalha para cada um que eu acertar.,[=UP],猜對了，就會拿到金幣。,猜对了，就会拿到金币。,[=UP],[=UP],[=UP]
,"If I get a lot, I'm supposed to get a wonderful prize from Grandfather.","If I get a lot, I'm supposed to get a wonderful prize from Grandfather. "," If I get a lot, I'm supposed to get a wonderful prize from Grandfather.",いっぱいもらえば、お祖父さまから素敵なご褒美があるらしい。,[=JP],"Если соберу много таких, дедушка даст мне чудесный приз.","Se conseguir várias, eu devo ganhar um prêmio incrível do vovô.",[=UP],拿到好多的話，爺爺就會給我很棒的獎勵。,拿到好多的话，爷爷就会给我很棒的奖励。,[=UP],[=UP],[=UP]
,"Okay, here I go.","Okay, here I go. "," Okay, here I go.",よし、がんばる。,[=JP],"Ладно, вперёд.","Sim, vou me esforçar.",[=UP],好，我要加油。,[=CHT],[=UP],[=UP],[=UP]
Ushiromiya Ange,"""Who should I start with?""","""Who should I start with?"" ",[=UP],「誰からクイズをもらえばいいのかな。」,「誰からクイズをもらえばいいのかな」,"""С кого бы начать?""","""Por quem eu devo começar?""",[=UP],「從誰那裡開始猜謎好呢？」,「从谁那里开始猜谜好呢？」,[=UP],[=UP],[=UP]
Ushiromiya Eva,"""I don't think it matters. Start with whomever you like.""","""I don't think it matters. Start with whomever you like."" ",[=UP],「誰からでもいいそうよ。好きな人に話し掛けてごらんなさい。」,「誰からでもいいそうよ。好きな人に話し掛けてごらんなさい」,"""Вряд ли это важно. Начинай с кого хочешь.""","""Não acho que isso importe. Comece com quem você quiser.""",[=UP],「從誰開始都行啊。去和喜歡的人問問試試。」,「从谁开始都行啊。去和喜欢的人问问试试。」,[=UP],[=UP],[=UP]
Ushiromiya Rudolf,"""I'd better think up a killer puzzle while I have the chance.""","""I'd better think up a killer puzzle while I have the chance."" ",[=UP],「今の内に、何か取って置きの問題を考えておかないとなぁ。」,「今の内に、何か取って置きの問題を考えておかないとなぁ」,"""Лучше придумаю сногсшибательную головоломку, пока есть возможность.""","""É bom eu aproveitar e pensar em um enigma bem difícil enquanto posso.""",[=UP],「趁著現在，得好好想個難題出來啊。」,「趁着现在，得好好想个难题出来啊。」,[=UP],[=UP],[=UP]
Ushiromiya Rosa,"""Maria, didn't you have a quiz book in your bag?""","""Maria, didn't you have a quiz book in your bag?"" ",[=UP],「真里亞ー、あなた、クイズの本を鞄に入れてなかった？」,[=JP],"""Мария, у тебя, кажется, в сумке есть книга с викторинами?""","""Maria, você não tinha um livro de quizzes na sua bolsa?""",[=UP],「真里亞，你的包包裡帶沒帶猜謎書啊？」,「真里亚，你的包包里带没带猜谜书啊？」,[=UP],[=UP],[=UP]
Ushiromiya Maria,"""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""","""Uu-! I do! Kihihihihihi, I'm gonna give Ange a nasty one...!"" ","""Uu-! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""",「うー！　あるよー！　きっひひひひひひ、意地悪な問題で縁寿をいじめるの…！」,[=JP],"""У‐у! Есть! Ки‐хи‐хи‐хи‐хи, я подразню Энджи противной загадкой!..""","""Uu! Tenho! Kihihihihihi, vou judiar da Ange com ele...!""",[=UP],「嗚——！帶了喲！唧嘻嘻嘻嘻嘻嘻，我要用刁鑽的問題來欺負緣壽…！」,「呜——！带了哟！唧嘻嘻嘻嘻嘻嘻，我要用刁钻的问题来欺负缘寿…！」,[=UP],[=UP],[=UP]
,Maria onee‐chan laughed with an evil smile.,Maria onee-chan laughed with an evil smile. ,Maria onee-chan laughed with an evil smile.,真里亞お姉ちゃんがすっごく意地悪そうな顔で笑う。,[=JP],Сестрёнка Мария засмеялась с недоброй улыбкой.,A Maria onee‐chan riu com um sorriso maligno.,[=UP],真里亞姐姐用很不懷好意的表情笑著。,真里亚姐姐用很不怀好意的表情笑着。,[=UP],[=UP],[=UP]
,Looks like everyone's going to try and bully me. I'm sure they'll think up some really hard questions.,Looks like everyone's going to try and bully me. I'm sure they'll think up some really hard questions. , Looks like everyone's going to try and bully me. I'm sure they'll think up some really hard questions.,みんな、私をいじめる気だ。きっとすっごく難しい問題を出してくる。,[=JP],"Видимо, все собрались подразнить меня. Они наверняка придумают очень сложные вопросы.",Parece que todos vão tentar judiar de mim. Tenho certeza que eles vão pensar em perguntas bem difíceis.,[=UP],大家，都打算欺負我。肯定都會出特別難的問題來。,大家，都打算欺负我。肯定都会出特别难的问题来。,[=UP],[=UP],[=UP]
Ushiromiya Eva,"""Don't worry, I'll lend a hand.""","""Don't worry, I'll lend a hand."" ",[=UP],「大丈夫よ、伯母さんが助けてあげる。」,「大丈夫よ、伯母さんが助けてあげる」,"""Не беспокойся, я помогу.""","""Não se preocupe, sua tia vai ajudar.""",[=UP],「沒關係，姑母會幫你的。」,「没关系，姑母会帮你的。」,[=UP],[=UP],[=UP]
Ushiromiya Ange,"""Really...?""","""Really...?"" ",[=UP],「本当…？」,[=JP],"""Правда?..""","""Mesmo...?""",[=UP],「真的…？」,[=CHT],[=UP],[=UP],[=UP]
