Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.,"When being beseiged, your true enemy isn't so much the fear of an unseen culprit... as it is keeping such fears alive for long periods of time. ",The true enemy of a siege isn't the fear of unseen enemies. It's probably about whether you can keep that going over a long period of time.,篭城の真の敵は、姿の見えぬ犯人への恐怖より、それを延々と持続させることができるかどうかの方かもしれない。,篭城の真の敵は、姿の見えぬ犯人への恐怖より、それを延々と持続させることができるかどうかの方かもしれない。,"Настоящим врагом людей, находящихся в осаде, является не страх перед незримыми врагами, но скорее страх, а хватит ли у них сил продержаться долгое время.","Quando seu castelo é atacado, o verdadeiro inimigo não é o medo invisível.{n}Mas se manter nessa situação eternamente.",The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.,籠城的真正敵人，與其說是對不見踪影的犯人的恐懼，倒不如說，是能否一直維持住這個狀況吧。,笼城的真正敌人，与其说是对不见踪影的犯人的恐惧，倒不如说，是能否一直维持住这个状况吧。,The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.,The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.,The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.
,"Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs.","Maria got bored and started complaining that she wanted to watch TV. There was no TV in the lobby, so she decided to return to the cousins' room on the second floor. "," Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, we decided to return to the cousins' room on the second floor.",真里亞は退屈なのでテレビを見たいと騒ぎ出す。テレビはロビーにないため、２階のいとこ部屋へ戻ることにした。,真里亞は退屈なのでテレビを見たいと騒ぎ出す。テレビはロビーにないため、２階のいとこ部屋へ戻ることにした。,"Марии стало скучно и она принялась шуметь, потому что хотела посмотреть телевизор. Поскольку в фойе телевизора не было, мы решили вернуться в комнату для кузенов и кузин на втором этаже.","Maria tinha ficado entediada e começou a fazer um alvoroço porque queria assistir televisão. Como não havia televisão no lobby, ela decidiu retornar ao quarto dos primos no andar de cima.","Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs.",真里亞由於無聊，吵著要看電視。大廳裡沒有電視機，所以她回了二樓的堂兄妹房間。,真里亚由于无聊，吵着要看电视。大厅里没有电视机，所以她回了二楼的堂兄妹房间。,"Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs.","Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs.","Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs."
,"The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs.",The adults probably wanted to make sure Maria wasn't left on her own... They told all the children to go to the second floor cousins' room. , They probably expected that we wouldn't want to leave Maria all alone. The adults told all the children to go to the second floor cousins' room.,真里亞だけをひとりぼっちにしたくない思惑もあるのだろう。大人たちは、子どもは全員、２階のいとこ部屋にいるようにと言い渡した。,真里亞だけをひとりぼっちにしたくない思惑もあるのだろう。大人たちは、子どもは全員、２階のいとこ部屋にいるようにと言い渡した。,"Они, должно быть, ожидали, что мы не захотим оставить Марию одну. И взрослые сказали всем детям подняться на второй этаж в их комнату.","Os adultos provavelmente não queriam deixar Maria por conta própria, entre outras razões. Eles disseram para todas as crianças irem ao quarto dos primos no andar de cima.","The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs.",大人們也有不想讓真里亞落單的念頭吧。於是命令全體小孩去二樓堂兄妹房間裡待著。,大人们也有不想让真里亚落单的念头吧。于是命令全体小孩去二楼堂兄妹房间里待着。,"The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs.","The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs.","The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs."
,"George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs.","George, who was grief-stricken by the loss of his fiancée, led the cousins up to the second floor without any resistance. "," George, whose heart was wounded by the loss of the person he was engaged to, led the cousins up to the second floor without any resistance.",婚約者を失い傷心した譲治は、それに抗う気力もなく、いとこたちを率いて２階に上がった。,婚約者を失い傷心した譲治は、それに抗う気力もなく、いとこたちを率いて２階に上がった。,"Джордж, чьё сердце было разбито потерей девушки, с которой он обручился, пошёл на второй этаж без каких‐либо возражений.","George, com o coração ferido pela perda de sua noiva, não tinha força de vontade para resistir àquilo, e guiou os primos para cima.","George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs.",因失去未婚妻而傷心欲絕的讓治，甚至沒了魄力反抗，就這麼率領著堂兄妹們去了二樓。,因失去未婚妻而伤心欲绝的让治，甚至没了魄力反抗，就这么率领着堂兄妹们去了二楼。,"George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs.","George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs.","George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs."
,"At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs.","At first, Nanjo had been reading a book in the lobby, but when he noticed the relatives looking like they wanted to discuss something sinister, he said ""It seems I am in the way..."" and returned to his room on the second floor. "," At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something sinister, he said 'it seems I am in the way' and returned to his room on the second floor.",南條は初め、ロビーで本を読んでいたが、親族たちが内々にキナ臭い話をしたがっているらしい様子を察知すると、「お邪魔なようですな…」と言い残し、２階の自分の部屋へ戻っていった。,南條は初め、ロビーで本を読んでいたが、親族たちが内々にキナ臭い話をしたがっているらしい様子を察知すると、「お邪魔なようですな…」と言い残し、２階の自分の部屋へ戻っていった。,"Нанджо поначалу читал книгу в фойе, но как только заметил желание родственников поговорить о чём‐то зловещем, то сказал: ""По‐видимому, я тут лишний"", — и удалился в свою комнату на втором этаже.","De início, Nanjo estava lendo um livro no lobby, mas quando ele percebeu que os parentes pareciam querer falar sobre algo sombrio, ele disse ""Parece que estou atrapalhando..."" e voltou para seu quarto no andar de cima.","At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs.",南條起初在大廳裡看書，不過，察覺到親戚們憋足了勁，想私下談些不可告人之事後，留下一句「看來是妨礙到諸位了吶…」，便回了二樓自己的房間。,南条起初在大厅里看书，不过，察觉到亲戚们憋足了劲，想私下谈些不可告人之事后，留下一句「看来是妨碍到诸位了呐…」，便回了二楼自己的房间。,"At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs.","At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs.","At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs."
Ushiromiya Rudolf,""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse.""","""......I'm starving. And if we just keep sitting around, we'll get sleepy too."" ","""............I'm starving. If we just sit around, we'll get even sleepier.""",「………腹ぁ、減ったな。ぼんやりしてると、それ以上に眠気が来るぜ。」,「………腹ぁ、減ったな。ぼんやりしてると、それ以上に眠気が来るぜ」,"""............Я проголодался. Если мы просто продолжим тут сидеть, то сонливость одолеет нас ещё сильнее.""",""".........Estou faminto. E se eu continuar apenas sentado por aí, meu sono ficará ainda pior.""",""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse.""",「………肚子餓了啊。這樣傻傻地待著，就更犯困了。」,「………肚子饿了啊。这样傻傻地待着，就更犯困了。」,""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse.""",""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse.""",""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse."""
Ushiromiya Rosa,"""It's only natural. Because we didn't sleep last night.""","""It's only natural. We didn't get any sleep at all last night."" ","""It's only natural. Because we didn't sleep last night.""",「無理もないわよ。私たちは昨夜、寝てないんだから。」,「無理もないわよ。私たちは昨夜、寝てないんだから」,"""Что не удивительно. Ведь мы с прошлой ночи на ногах.""","""É algo natural. Pois não dormimos na noite passada.""","""It's only natural. Because we didn't sleep last night.""",「難免的。因為我們昨晚都沒睡。」,「难免的。因为我们昨晚都没睡。」,"""It's only natural. Because we didn't sleep last night.""","""It's only natural. Because we didn't sleep last night.""","""It's only natural. Because we didn't sleep last night."""
Ushiromiya Krauss,"""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves.""","""...We will probably end up being barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over-stressing ourselves."" ","""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over-stressing ourselves.""",「…きっちり２４時間をここで篭城することになるだろう。無理をせず交代で仮眠する方が賢明かもしれんね。」,「…きっちり２４時間をここで篭城することになるだろう。無理をせず交代で仮眠する方が賢明かもしれんね」,"""...Нам наверняка придётся забаррикадироваться здесь на все 24 часа. Разумнее всего будет спать по очереди, чтобы не перегрузить себя.""","""...Provavelmente vamos acabar entrincheirados aqui por 24 horas inteiras.{n}Pode ser mais sábio tirar cochilos em turnos, em vez de nos estressarmos em demasia.""","""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves.""",「…估計是要在這兒守個整整二十四小時了。不要勉強，輪班去小睡一會兒會比較明智吧。」,「…估计是要在这儿守个整整二十四小时了。不要勉强，轮班去小睡一会儿会比较明智吧。」,"""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves.""","""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves.""","""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves."""
Ushiromiya Natsuhi,"""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it.""","""True. My husband and I will remain here, so I ask that anyone having trouble staying awake take it easy and rest."" ","""That's right. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it.""",「そうですね。私と主人がここにおりますので、辛い方は無理せずお休みになって下さい。」,「そうですね。私と主人がここにおりますので、辛い方は無理せずお休みになって下さい」,"""Правильно. Мы с мужем побудем здесь, так что если кто чувствует, что действительно устал, то ему не следует перегружать себя и отдохнуть.""","""Concordo. Meu marido e eu vamos ficar aqui, então qualquer um que ache isto difícil deve descansar sem abusar.""","""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it.""",「是呢。我與我家主人在這裡守著，撐不住就不要勉強了，先去休息一下吧。」,「是呢。我与我家主人在这里守着，撑不住就不要勉强了，先去休息一下吧。」,"""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it.""","""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it.""","""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it."""
Ushiromiya Eva,"""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage.""","""Our opponent might be expecting that, right? Even if they couldn't defeat this many people, if that number shrinks enough, they may plan to use that moment to strike."" ","""Our opponent might be expecting that, right? While they couldn't defeat this many people, if that number was reduced by a certain amount, they may plan to use it to their advantage.""",「相手はそれを期待してるかもしれないわよ？　この人数では崩せなくても、いくらか減ったら、その隙を突いて来るつもりかも。」,「相手はそれを期待してるかもしれないわよ？　この人数では崩せなくても、いくらか減ったら、その隙を突いて来るつもりかも」,"""Наш враг может ожидать этого, не находишь? Хоть им наверняка будет проблематично одолеть такое количество людей, если наше количество бодрствующих уменьшится, они могут воспользоваться возникшим преимуществом.""","""O culpado pode estar esperando por isso, sabiam? Talvez ele não seja capaz de derrotar esse tanto de pessoas, mas se o número for reduzido até uma certa quantidade, ele pode usar isso a seu favor.""","""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage.""",「對方說不定就在期盼我們這麼做喲？儘管這個人數他們可能打不過，但對方搞不好就是打著，等人數減少後趁虛而入的主意。」,「对方说不定就在期盼我们这么做哟？尽管这个人数他们可能打不过，但对方搞不好就是打着，等人数减少后趁虚而入的主意。」,"""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage.""","""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage.""","""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage."""
