Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"...Even though it was a pitch‐black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me.","...Even though it was a pitch-black world where nothing could be seen, ...for some reason, I felt Beato's presence right next to me. ","...Even though it was a pitch-black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me.",…真っ暗で、何も見えない世界なのに、……なぜかすぐ近くに、ベアトがいるような気配を感じた。,…真っ暗で、何も見えない世界なのに、……なぜかすぐ近くに、ベアトがいるような気配を感じた。,"...Хоть это и был чёрный как смоль мир, в котором ничего не было видно, я почему‐то чувствовал присутствие Беато рядом с собой.","...Mesmo sendo um mundo completamente escuro onde nada podia ser visto, ......por algum motivo, eu conseguia sentir a presença da Beato ao meu lado.","...Even though it was a pitch‐black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me.",…在一片漆黑，什麼都看不見的世界中，……不知為何感覺到了，貝阿朵好像就在身邊。,…在一片漆黑，什么都看不见的世界中，……不知为何感觉到了，贝阿朵好像就在身边。,"...Even though it was a pitch‐black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me.","...Even though it was a pitch‐black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me.","...Even though it was a pitch‐black world where nothing could be seen, ......for some reason, I felt Beato's presence right next to me."
,......So I tried calling out to her.{n}...You can exchange words with someone whether they're a human or a witch.,...So I tried calling out to her. ...You can exchange words with someone whether they're a human or a witch. ,......So I tried calling out to her....You can exchange words with someone whether they're a human or a witch.,……だから呼び掛けてみる。…言葉を交わすことは、魔女でも人間でもできる。,……だから呼び掛けてみる。{n}…言葉を交わすことは、魔女でも人間でもできる。,".....Поэтому я попытался окликнуть её.{n}...Будь то человек или ведьма, с ними можно разговаривать.","......Por isso, eu tentei chamar por ela.{n}...Você pode trocar palavras com alguém sendo essa pessoa um humano ou uma bruxa.",......So I tried calling out to her.{n}...You can exchange words with someone whether they're a human or a witch.,……所以，我試著喊了她一下。{n}…交談是魔女與人類都做得到的事。,……所以，我试着喊了她一下。{n}…交谈是魔女与人类都做得到的事。,......So I tried calling out to her.{n}...You can exchange words with someone whether they're a human or a witch.,......So I tried calling out to her.{n}...You can exchange words with someone whether they're a human or a witch.,......So I tried calling out to her.{n}...You can exchange words with someone whether they're a human or a witch.
,......So even in a world where witches have been denied......I should be allowed to talk to her...,"...So even in a world where witches have been denied, ...I should be allowed to talk to her... ","......So even in a world where witches have been denied, ......I should be allowed to talk to her...",……だから、魔女が否定された世界でも、……言葉をかけることは許されるはずなんだ…。,……だから、魔女が否定された世界でも、……言葉をかけることは許されるはずなんだ…。,......Так что даже в отрицающем ведьм мире у меня должно было получиться поговорить с ней...,"......Então, mesmo em um mundo onde as bruxas são negadas......eu devo ser capaz de falar com ela...",......So even in a world where witches have been denied......I should be allowed to talk to her...,……所以，即便是在否定了魔女的世界裡，……也理應能夠與她交談…。,……所以，即便是在否定了魔女的世界里，……也理应能够与她交谈…。,......So even in a world where witches have been denied......I should be allowed to talk to her...,......So even in a world where witches have been denied......I should be allowed to talk to her...,......So even in a world where witches have been denied......I should be allowed to talk to her...
Ushiromiya Battler,"""...............Beato......""","""......Beato..."" ","""............Beato......""",「……………ベアト……。」,「……………ベアト……」,"""............Беато......""","""...............Beato......""","""...............Beato......""",「……………貝阿朵……」,「……………贝阿朵……」,"""...............Beato......""","""...............Beato......""","""...............Beato......"""
{f:5:Beatrice},"""......Battler, is it... ...............It is done. ......I...did it.""","""...Battler, is it...? .........It is done. ...I...did it."" ","""......Battler, is it..................It is done. ......I, ...did it.""",「……戦人か…。……………やったぞ。……妾は、…やった。」,「……戦人か…。………やったぞ。……妾は、…やった」,"""......Баттлер... ...............Сделала. ......Я... сделала это.""","""......Battler, é você...? ...............Terminou. ......Eu...fiz isso.""","""......Battler, is it... ...............It is done. ......I...did it.""",「……戰人嗎…？……………做到了哦。……妾身，…做到了。」,「……战人吗…？……………做到了哦。……妾身，…做到了。」,"""......Battler, is it... ...............It is done. ......I...did it.""","""......Battler, is it... ...............It is done. ......I...did it.""","""......Battler, is it... ...............It is done. ......I...did it."""
Ushiromiya Battler,"""...Yeah. ......I didn't hear it, .........but I watched you...until the very end... I was watching......as you boldly stood up to that evil witch...""","""Yeah. ...I didn't hear it, ......but I watched you until the very end... I definitely saw you...boldly stand up to that evil witch..."" ","""Yeah. ......I didn't hear it, .........but I watched you until the very end... I definitely saw you, ......boldly stand up to that evil witch...""",「…あぁ。……聞こえはしなかったが、………俺はお前の姿を、…最後まで見ていたぜ…。お前が、邪悪な魔女に毅然と立ち向かうところを、……ちゃんと見てたぜ…。」,「…あぁ。……聞こえはしなかったが、………俺はお前の姿を、…最後まで見ていたぜ…。お前が、邪悪な魔女に毅然と立ち向かうところを、……ちゃんと見てたぜ…」,"""Да. ......Я ничего не слышал, но смотрел на тебя до самого конца... Я ясно видел как ты... храбро противостояла этой злой ведьме...""","""...Sim. ......Eu não ouvi, .........mas eu observei você...até o final... Eu estava observando......como você bravamente permanecia de pé perante aquela terrível bruxa...""","""...Yeah. ......I didn't hear it, .........but I watched you...until the very end... I was watching......as you boldly stood up to that evil witch...""",「…啊啊。……雖然我沒有聽到，………但我直到最後，…都在看著你…。有好好把你，毅然迎向邪惡魔女的英勇身姿，……看在眼中…」,「…啊啊。……虽然我没有听到，………但我直到最后，…都在看着你…。有好好把你，毅然迎向邪恶魔女的英勇身姿，……看在眼中…」,"""...Yeah. ......I didn't hear it, .........but I watched you...until the very end... I was watching......as you boldly stood up to that evil witch...""","""...Yeah. ......I didn't hear it, .........but I watched you...until the very end... I was watching......as you boldly stood up to that evil witch...""","""...Yeah. ......I didn't hear it, .........but I watched you...until the very end... I was watching......as you boldly stood up to that evil witch..."""
{f:5:Beatrice},""".........With this, ...I am no longer a witch. ............But, I will definitely...become a witch again... ......And......I will make it so that I can be called the Golden Witch again, .........and then, ......when I am ready to be accepted as your opponent, .........I will return once more......""","""......With this, ...I am no longer a witch. .........But I will definitely...become a witch again... ...And then, ...I will make it so that I can be called the Golden Witch again, ......and once again, ......return... so that I can be accepted as your opponent......"" ","""............With this, ...I am no longer a witch. ...............So, I will definitely...become a witch again.........And then, ......I will make it so that I can be called the Golden Witch again, .........and once again, ............return, ......so that I can be accepted as your opponent.........""",「…………これでもう、…妾は魔女ではない。……………だが、必ず、妾は再び魔女になるぞ…。……そして、……再び黄金の魔女と呼ばれるに至って、………再び、……そなたの対戦相手だと認められに、…………帰ってくるから………。」,「………これでもう、…妾は魔女ではない。…………だが、必ず、妾は再び魔女になるぞ…。……そして、……再び黄金の魔女と呼ばれるに至って、……再び、……そなたの対戦相手だと認められに、………帰ってくるから……」,"""............Теперь... я больше не ведьма. ...............А значит, я безусловно... вновь стану ведьмой... ......И тогда... я стану трудиться, чтобы снова называться Золотой Ведьмой... и ещё раз... вернусь, чтобы оказаться принятой твоим противником...""",""".........Com isto, ...eu não sou mais uma bruxa. ............Mas eu definitivamente vou...me tornar uma bruxa novamente... ......E......ao fazer isto, poderei ser chamada novamente de Bruxa Dourada, .........e então, ......quando eu estiver pronta para ser aceita como sua oponente, .........eu retornarei novamente......""",""".........With this, ...I am no longer a witch. ............But, I will definitely...become a witch again... ......And......I will make it so that I can be called the Golden Witch again, .........and then, ......when I am ready to be accepted as your opponent, .........I will return once more......""",「…………就此，…妾身已不是魔女了。……………但是，妾身，一定會再次成為魔女的…。……然後，……等能夠再次被稱為黃金的魔女之時，………妾身，……會為了重新被汝認同為對戰敵手，…………而回來的………」,「…………就此，…妾身已不是魔女了。……………但是，妾身，一定会再次成为魔女的…。……然后，……等能够再次被称为黄金的魔女之时，………妾身，……会为了重新被汝认同为对战敌手，…………而回来的………」,""".........With this, ...I am no longer a witch. ............But, I will definitely...become a witch again... ......And......I will make it so that I can be called the Golden Witch again, .........and then, ......when I am ready to be accepted as your opponent, .........I will return once more......""",""".........With this, ...I am no longer a witch. ............But, I will definitely...become a witch again... ......And......I will make it so that I can be called the Golden Witch again, .........and then, ......when I am ready to be accepted as your opponent, .........I will return once more......""",""".........With this, ...I am no longer a witch. ............But, I will definitely...become a witch again... ......And......I will make it so that I can be called the Golden Witch again, .........and then, ......when I am ready to be accepted as your opponent, .........I will return once more......"""
Ushiromiya Battler,"""No. .........You...were a witch.""","""No. ......You...were a witch."" ","""No. .........You...were a witch.""",「いや。………お前は、魔女だったぜ。」,「いや。………お前は、魔女だったぜ」,"""Нет. .........Ты... была ведьмой.""","""Não. .........Você...é uma bruxa.""","""No. .........You...were a witch.""",「不。………你是，魔女。」,「不。………你是，魔女。」,"""No. .........You...were a witch.""","""No. .........You...were a witch.""","""No. .........You...were a witch."""
{f:5:Beatrice},"""...............Huh......?""","""......Huh...?"" ","""............Huh......?""",「……………え……。」,「……………え……」,"""............Что?..""","""...............Hã......?""","""...............Huh......?""",「……………哎……？」,「……………哎……？」,"""...............Huh......?""","""...............Huh......?""","""...............Huh......?"""
Ushiromiya Battler,"""...I...was watching. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I was watching with my own eyes...""","""...I...saw it. ......When you took that evil witch, ...and blew her away with that awesome magic, exposing her true form, ...I saw it with my own eyes..."" ","""...I...saw it. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I saw it with my own eyes...""",「…俺は、見てたぜ。………お前が、あの邪悪な魔女を、……すっげえ魔法で吹き飛ばして、その正体を暴き出すところを、…俺はちゃんとこの目で見ていたぜ…。」,「…俺は、見てたぜ。………お前が、あの邪悪な魔女を、……すっげえ魔法で吹き飛ばして、その正体を暴き出すところを、…俺はちゃんとこの目で見ていたぜ…」,"""...Я... увидел. .........Когда ты противостояла злой ведьме, и разоблачила её той удивительной магией, явив её настоящую форму, я увидел это своими собственными глазами...""","""...Eu...estava observando. .........Quando você derrotou aquela bruxa maligna ......e mandou ela para longe com a sua magia incrível, expondo a verdadeira forma dela, ...eu estava observando com meus próprios olhos...""","""...I...was watching. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I was watching with my own eyes...""",「…我，看到了。………我用這雙眼睛，……清楚地看到了你用超猛的魔法，轟飛了那位邪惡的魔女，…揭露了她的真面目…」,「…我，看到了。………我用这双眼睛，……清楚地看到了你用超猛的魔法，轰飞了那位邪恶的魔女，…揭露了她的真面目…」,"""...I...was watching. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I was watching with my own eyes...""","""...I...was watching. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I was watching with my own eyes...""","""...I...was watching. .........When you took that evil witch, ......and blew her away with that awesome magic, exposing her true form, ...I was watching with my own eyes..."""
