Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,Quadrillion.,Quadrillion. ,Quadrillion.,Ｑｕａｄｒｉｌｌｉｏｎ。,Ｑｕａｄｒｉｌｌｉｏｎ。,Quadrillion.,Quadrillion.,Quadrillion.,Quadrillion。,Quadrillion。,Quadrillion.,Quadrillion.,Quadrillion.
,There's only one place you'll find that word on Rokkenjima.,There's only one place you'll find that word on Rokkenjima. , There's only one place you'll find that word on Rokkenjima.,それが刻まれた場所が、六軒島に一ヶ所だけある。,それが刻まれた場所が、六軒島に一ヶ所だけある。,На Роккенджиме это слово есть только в одном месте.,Tem apenas um lugar em Rokkenjima onde você vai encontrar essa palavra.,There's only one place you'll find that word on Rokkenjima.,在六軒島上，只有一處有著這行字。,在六轩岛上，只有一处有着这行字。,There's only one place you'll find that word on Rokkenjima.,There's only one place you'll find that word on Rokkenjima.,There's only one place you'll find that word on Rokkenjima.
,"Gold butterflies flitted from shadow to shadow, dodging raindrops.","Gold butterflies flitted from shadow to shadow, dodging raindrops. "," Gold butterflies flitted from shadow to shadow, dodging raindrops.",黄金蝶が梢の陰から陰へ、小雨を避けながら、ひらりと飛ぶ。,黄金蝶が梢の陰から陰へ、小雨を避けながら、ひらりと飛ぶ。,"Золотые бабочки пролетели от тени до тени, избегая капель дождя.","Borboletas douradas esvoaçavam de sombra em sombra, esquivando‐se dos pingos de chuva.","Gold butterflies flitted from shadow to shadow, dodging raindrops.",黃金蝶在樹梢下穿梭，邊躲避小雨，邊輕快飛舞。,黄金蝶在树梢下穿梭，边躲避小雨，边轻快飞舞。,"Gold butterflies flitted from shadow to shadow, dodging raindrops.","Gold butterflies flitted from shadow to shadow, dodging raindrops.","Gold butterflies flitted from shadow to shadow, dodging raindrops."
{f:5:Beatrice},"""......Unless my memory is mistaken, this is probably the place.""","""...Unless my memory is mistaken, this is probably the place."" ","""......Unless my memory is mistaken, this is probably the place.""",「……妾の記憶が間違っていなければ、確かここで見た覚えがある。」,「……妾の記憶が間違っていなければ、確かここで見た覚えがある」,"""......Если не ошибаюсь, наверное, здесь.""","""......A não ser que a minha memória esteja enganada, provavelmente é neste lugar.""","""......Unless my memory is mistaken, this is probably the place.""",「……妾身的記憶要是沒出錯的話，那妾身記得，確實就是在這兒看到過。」,「……妾身的记忆要是没出错的话，那妾身记得，确实就是在这儿看到过。」,"""......Unless my memory is mistaken, this is probably the place.""","""......Unless my memory is mistaken, this is probably the place.""","""......Unless my memory is mistaken, this is probably the place."""
,"It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.","It was...the chapel. That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion. ","It was......the chapel. That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.",そこは、……礼拝堂だった。六軒島に屋敷と同時に最も古く建てられた、謎多き建物だ。,そこは、……礼拝堂だった。{n}六軒島に屋敷と同時に最も古く建てられた、謎多き建物だ。,"......Часовня.{n}Таинственная постройка — одна из старейших на Роккенджиме, — которую построили одновременно с особняком.","Era......a capela.{n}A misteriosa edificação, uma das mais antigas de Rokkenjima, que foi construída ao mesmo tempo que a mansão.","It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.",這裡是，……禮拜堂。{n}是與六軒島大屋同時最早在島上建造的，有著許多謎的建築物。,这里是，……礼拜堂。{n}是与六轩岛大屋同时最早在岛上建造的，有着许多谜的建筑物。,"It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.","It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.","It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion."
,"It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.","It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside. "," It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.",礼拝堂と名は付いているが、金蔵が礼拝に使った試しは一度もなく、親族たちに立ち入らせたことも一度も無い。,礼拝堂と名は付いているが、金蔵が礼拝に使ったためしは一度もなく、親族たちに立ち入らせたことも一度も無い。,"Она называлась часовней, но Кинзо ни разу не молился в ней, а членам семьи не разрешалось туда входить.","Era chamada de capela, mas nunca foi usada por Kinzo para orações, bem como os membros da família não tinham permissão para entrar.","It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.",雖有個禮拜堂的名字，但金藏從未去做過禮拜，並且一次都未允許過親族們踏入。,虽有个礼拜堂的名字，但金藏从未去做过礼拜，并且一次都未允许过亲族们踏入。,"It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.","It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.","It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside."
,"There were strict orders that none approach it without reason, and its purpose was always a mystery.","There were strict orders that none approach it without reason, and its purpose has always been a mystery. "," There were strict orders that none approach it without reason, and its purpose has always been a mystery.",濫りに近付くべからずと厳命され、何のために建てられたのか、ずっと謎に思われてきた。,濫りに近付くべからずと厳命され、何のために建てられたのか、ずっと謎に思われてきた。,"Был строгий приказ не приближаться к ней без причины, и её назначение всегда оставалось загадкой.",Haviam ordens estritas para que ninguém se aproximasse dela sem um motivo e seu propósito sempre foi um mistério.,"There were strict orders that none approach it without reason, and its purpose was always a mystery.",被過度嚴命“不准靠近”後，“都是為了什麼才建它的”，一直都被人當成了一個謎。,被过度严命“不准靠近”后，“都是为了什么才建它的”，一直都被人当成了一个谜。,"There were strict orders that none approach it without reason, and its purpose was always a mystery.","There were strict orders that none approach it without reason, and its purpose was always a mystery.","There were strict orders that none approach it without reason, and its purpose was always a mystery."
,"However, any mystery will lose its luster after several decades.","However, all of these mysteries got boring after several decades. "," However, all of these mysteries got boring after several decades.",しかし、どんな謎も、数十年という長い時間の間には色褪せる。,しかし、どんな謎も、数十年という長い時間の間には色褪せる。,Но все эти тайны спустя несколько десятилетий наскучили.,"Entretanto, todo e qualquer mistério perde seu esplendor após algumas décadas.","However, any mystery will lose its luster after several decades.",不過，不論怎樣的謎，都是會在長達幾十年的漫長時間中慢慢褪色的。,不过，不论怎样的谜，都是会在长达几十年的漫长时间中慢慢褪色的。,"However, any mystery will lose its luster after several decades.","However, any mystery will lose its luster after several decades.","However, any mystery will lose its luster after several decades."
,"At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......","At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents... "," At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......",いつしか、礼拝堂という存在も忘れられ、これほどに立派な建物なのに、六軒島の住人たちからは忘れ去られていた……。,いつしか、礼拝堂という存在も忘れられ、これほどに立派な建物なのに、六軒島の住人たちからは忘れ去られていた……。,"В какой‐то момент все забыли о том, что вообще есть такая часовня, и больше никто на Роккенджиме не думал об этом здании......","Em determinado momento, todos esqueceram da existência da capela, e esta edificação maravilhosa desapareceu dos pensamentos dos residentes de Rokkenjima......","At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......",不知不覺，就連禮拜堂的存在都被遺忘了，明明是幢如此雄偉的建築物，可它卻被六軒島上的居民們給忘了……。,不知不觉，就连礼拜堂的存在都被遗忘了，明明是幢如此雄伟的建筑物，可它却被六轩岛上的居民们给忘了……。,"At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......","At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......","At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......"
,"Of course, this had been true for Beato as well.","Of course, this had been true for Beato as well. "," Of course, this had been true for Beato as well.",無論、それはベアトもだった。,無論、それはベアトもだった。,"Разумеется, Беато тоже.","É claro, isso também valia para Beato.","Of course, this had been true for Beato as well.",當然，這點對於貝阿朵也是一樣。,当然，这点对于贝阿朵也是一样。,"Of course, this had been true for Beato as well.","Of course, this had been true for Beato as well.","Of course, this had been true for Beato as well."
